"Indicator type","Indicator","Description"
"URL","http://51.15.142.0",""
"URL","http://206.55.74.0",""
"IPv4","99.95.164.21",""
"IPv4","99.45.175.117",""
"IPv4","99.43.23.111",""
"IPv4","99.150.229.21",""
"IPv4","99.122.201.244",""
"IPv4","98.63.230.136",""
"IPv4","98.46.21.126",""
"IPv4","98.250.174.4",""
"IPv4","98.2.231.74",""
"IPv4","98.128.173.1",""
"IPv4","98.121.76.83",""
"IPv4","97.107.139.108",""
"IPv4","96.65.68.193",""
"IPv4","96.255.214.250",""
"IPv4","96.253.78.108",""
"IPv4","96.22.210.165",""
"IPv4","96.126.105.219",""
"IPv4","95.88.234.137",""
"IPv4","95.223.32.66",""
"IPv4","95.223.169.176",""
"IPv4","95.222.114.228",""
"IPv4","95.217.62.4",""
"IPv4","95.217.6.94",""
"IPv4","95.217.30.201",""
"IPv4","95.217.28.112",""
"IPv4","95.217.231.111",""
"IPv4","95.217.223.54",""
"IPv4","95.217.206.235",""
"IPv4","95.217.203.133",""
"IPv4","95.217.2.206",""
"IPv4","95.217.183.194",""
"IPv4","95.217.17.197",""
"IPv4","95.217.16.212",""
"IPv4","95.217.156.221",""
"IPv4","95.217.15.125",""
"IPv4","95.217.14.17",""
"IPv4","95.217.14.105",""
"IPv4","95.217.135.55",""
"IPv4","95.217.135.250",""
"IPv4","95.217.129.223",""
"IPv4","95.217.121.38",""
"IPv4","95.217.112.245",""
"IPv4","95.217.112.243",""
"IPv4","95.217.112.218",""
"IPv4","95.217.0.139",""
"IPv4","95.216.98.55",""
"IPv4","95.216.72.20",""
"IPv4","95.216.5.245",""
"IPv4","95.216.35.84",""
"IPv4","95.216.33.58",""
"IPv4","95.216.33.30",""
"IPv4","95.216.3.166",""
"IPv4","95.216.27.105",""
"IPv4","95.216.22.22",""
"IPv4","95.216.201.161",""
"IPv4","95.216.20.80",""
"IPv4","95.216.2.172",""
"IPv4","95.216.198.252",""
"IPv4","95.216.193.39",""
"IPv4","95.216.184.242",""
"IPv4","95.216.168.133",""
"IPv4","95.216.154.9",""
"IPv4","95.216.146.117",""
"IPv4","95.216.141.19",""
"IPv4","95.216.140.239",""
"IPv4","95.216.140.159",""
"IPv4","95.216.12.30",""
"IPv4","95.216.115.85",""
"IPv4","95.216.107.148",""
"IPv4","95.216.101.247",""
"IPv4","95.216.100.82",""
"IPv4","95.215.45.188",""
"IPv4","95.215.45.138",""
"IPv4","95.214.55.43",""
"IPv4","95.214.54.97",""
"IPv4","95.214.54.80",""
"IPv4","95.214.54.70",""
"IPv4","95.214.54.65",""
"IPv4","95.214.54.60",""
"IPv4","95.214.54.56",""
"IPv4","95.214.54.108",""
"IPv4","95.214.54.102",""
"IPv4","95.214.54.101",""
"IPv4","95.214.53.99",""
"IPv4","95.214.53.96",""
"IPv4","95.214.53.221",""
"IPv4","95.214.53.216",""
"IPv4","95.214.53.210",""
"IPv4","95.214.53.20",""
"IPv4","95.214.52.241",""
"IPv4","95.214.52.240",""
"IPv4","95.214.52.234",""
"IPv4","95.214.52.224",""
"IPv4","95.214.235.135",""
"IPv4","95.211.210.72",""
"IPv4","95.211.208.141",""
"IPv4","95.211.205.138",""
"IPv4","95.211.147.99",""
"IPv4","95.211.138.7",""
"IPv4","95.211.138.51",""
"IPv4","95.211.136.23",""
"IPv4","95.211.118.194",""
"IPv4","95.179.247.88",""
"IPv4","95.153.32.22",""
"IPv4","95.153.31.8",""
"IPv4","95.153.31.26",""
"IPv4","95.147.86.153",""
"IPv4","95.143.193.125",""
"IPv4","95.142.161.63",""
"IPv4","95.129.102.203",""
"IPv4","95.128.43.164",""
"IPv4","95.111.252.230",""
"IPv4","95.111.243.215",""
"IPv4","95.111.230.178",""
"IPv4","95.110.254.231",""
"IPv4","94.75.225.70",""
"IPv4","94.46.171.245",""
"IPv4","94.46.171.221",""
"IPv4","94.46.171.151",""
"IPv4","94.32.66.15",""
"IPv4","94.26.73.162",""
"IPv4","94.242.59.97",""
"IPv4","94.242.59.47",""
"IPv4","94.230.208.148",""
"IPv4","94.230.208.147",""
"IPv4","94.23.29.204",""
"IPv4","94.23.248.158",""
"IPv4","94.23.247.42",""
"IPv4","94.23.194.134",""
"IPv4","94.23.172.32",""
"IPv4","94.23.17.58",""
"IPv4","94.23.150.210",""
"IPv4","94.23.121.39",""
"IPv4","94.224.67.24",""
"IPv4","94.199.214.229",""
"IPv4","94.177.9.131",""
"IPv4","94.172.84.96",""
"IPv4","94.16.143.22",""
"IPv4","94.16.123.67",""
"IPv4","94.16.123.171",""
"IPv4","94.16.123.169",""
"IPv4","94.16.123.1",""
"IPv4","94.16.122.222",""
"IPv4","94.16.121.91",""
"IPv4","94.16.121.20",""
"IPv4","94.16.120.204",""
"IPv4","94.16.118.250",""
"IPv4","94.16.118.23",""
"IPv4","94.16.117.97",""
"IPv4","94.16.116.81",""
"IPv4","94.16.114.254",""
"IPv4","94.16.114.231",""
"IPv4","94.16.113.135",""
"IPv4","94.16.112.31",""
"IPv4","94.16.107.36",""
"IPv4","94.16.104.159",""
"IPv4","94.156.175.86",""
"IPv4","94.156.175.120",""
"IPv4","94.156.128.10",""
"IPv4","94.154.159.96",""
"IPv4","94.142.244.16",""
"IPv4","94.142.241.194",""
"IPv4","94.142.236.196",""
"IPv4","94.140.120.130",""
"IPv4","94.140.115.114",""
"IPv4","94.140.114.210",""
"IPv4","94.140.112.74",""
"IPv4","94.140.112.211",""
"IPv4","94.140.112.195",""
"IPv4","94.140.112.158",""
"IPv4","94.131.2.71",""
"IPv4","94.130.246.106",""
"IPv4","94.130.24.201",""
"IPv4","94.130.239.50",""
"IPv4","94.130.200.167",""
"IPv4","94.130.189.8",""
"IPv4","94.130.185.68",""
"IPv4","94.130.181.104",""
"IPv4","94.130.129.15",""
"IPv4","94.130.10.251",""
"IPv4","94.103.188.80",""
"IPv4","94.100.6.72",""
"IPv4","94.100.6.71",""
"IPv4","94.100.6.30",""
"IPv4","94.100.6.27",""
"IPv4","93.99.255.254",""
"IPv4","93.99.104.194",""
"IPv4","93.95.88.13",""
"IPv4","93.95.231.124",""
"IPv4","93.95.231.115",""
"IPv4","93.95.231.110",""
"IPv4","93.95.230.85",""
"IPv4","93.95.230.245",""
"IPv4","93.95.230.243",""
"IPv4","93.95.230.102",""
"IPv4","93.95.228.74",""
"IPv4","93.95.228.51",""
"IPv4","93.95.228.205",""
"IPv4","93.95.227.7",""
"IPv4","93.95.227.46",""
"IPv4","93.95.227.106",""
"IPv4","93.95.226.212",""
"IPv4","93.95.225.142",""
"IPv4","93.95.100.202",""
"IPv4","93.95.100.166",""
"IPv4","93.90.200.181",""
"IPv4","93.56.117.22",""
"IPv4","93.55.235.232",""
"IPv4","93.51.14.78",""
"IPv4","93.43.195.2",""
"IPv4","93.41.149.117",""
"IPv4","93.31.215.252",""
"IPv4","93.31.13.163",""
"IPv4","93.208.141.76",""
"IPv4","93.190.143.41",""
"IPv4","93.186.200.169",""
"IPv4","93.180.157.154",""
"IPv4","93.180.154.94",""
"IPv4","93.177.67.43",""
"IPv4","93.177.66.15",""
"IPv4","93.174.93.145",""
"IPv4","93.123.12.126",""
"IPv4","93.118.32.51",""
"IPv4","93.115.95.38",""
"IPv4","93.115.91.66",""
"IPv4","93.115.86.6",""
"IPv4","93.115.86.4",""
"IPv4","93.115.241.194",""
"IPv4","93.104.244.179",""
"IPv4","93.100.35.189",""
"IPv4","92.87.6.194",""
"IPv4","92.87.6.117",""
"IPv4","92.87.6.107",""
"IPv4","92.60.37.105",""
"IPv4","92.60.36.153",""
"IPv4","92.38.184.131",""
"IPv4","92.38.163.83",""
"IPv4","92.38.152.130",""
"IPv4","92.35.70.10",""
"IPv4","92.34.148.151",""
"IPv4","92.32.77.156",""
"IPv4","92.249.143.119",""
"IPv4","92.246.84.133",""
"IPv4","92.243.6.46",""
"IPv4","92.243.0.63",""
"IPv4","92.243.0.179",""
"IPv4","92.223.93.250",""
"IPv4","92.223.65.241",""
"IPv4","92.223.105.174",""
"IPv4","92.222.79.186",""
"IPv4","92.222.172.56",""
"IPv4","92.222.103.195",""
"IPv4","92.205.161.164",""
"IPv4","92.204.40.241",""
"IPv4","92.176.200.1",""
"IPv4","92.118.63.242",""
"IPv4","91.92.109.43",""
"IPv4","91.89.221.166",""
"IPv4","91.66.5.90",""
"IPv4","91.66.4.41",""
"IPv4","91.64.0.13",""
"IPv4","91.250.81.52",""
"IPv4","91.245.255.87",""
"IPv4","91.244.181.85",""
"IPv4","91.243.85.168",""
"IPv4","91.233.116.51",""
"IPv4","91.232.37.241",""
"IPv4","91.229.76.124",""
"IPv4","91.223.82.197",""
"IPv4","91.223.3.211",""
"IPv4","91.223.3.167",""
"IPv4","91.223.3.166",""
"IPv4","91.219.29.94",""
"IPv4","91.219.245.62",""
"IPv4","91.219.238.221",""
"IPv4","91.219.238.148",""
"IPv4","91.219.238.120",""
"IPv4","91.219.237.160",""
"IPv4","91.219.236.239",""
"IPv4","91.213.8.89",""
"IPv4","91.213.8.130",""
"IPv4","91.213.233.138",""
"IPv4","91.208.75.4",""
"IPv4","91.208.75.3",""
"IPv4","91.208.75.156",""
"IPv4","91.208.75.153",""
"IPv4","91.208.206.136",""
"IPv4","91.208.184.123",""
"IPv4","91.208.162.145",""
"IPv4","91.207.60.48",""
"IPv4","91.203.5.165",""
"IPv4","91.203.5.146",""
"IPv4","91.203.5.141",""
"IPv4","91.203.5.118",""
"IPv4","91.203.5.115",""
"IPv4","91.203.145.116",""
"IPv4","91.203.145.114",""
"IPv4","91.203.144.194",""
"IPv4","91.201.65.29",""
"IPv4","91.199.137.50",""
"IPv4","91.194.84.89",""
"IPv4","91.193.18.143",""
"IPv4","91.190.155.70",""
"IPv4","91.172.215.29",""
"IPv4","91.169.117.54",""
"IPv4","91.151.93.46",""
"IPv4","91.148.141.117",""
"IPv4","91.143.88.62",""
"IPv4","91.143.88.2",""
"IPv4","91.143.87.51",""
"IPv4","91.143.87.136",""
"IPv4","91.143.85.52",""
"IPv4","91.143.83.100",""
"IPv4","91.143.81.27",""
"IPv4","91.143.81.212",""
"IPv4","91.143.80.230",""
"IPv4","91.134.147.134",""
"IPv4","91.132.147.168",""
"IPv4","91.132.146.135",""
"IPv4","91.132.145.245",""
"IPv4","91.132.145.129",""
"IPv4","91.132.144.59",""
"IPv4","91.126.217.153",""
"IPv4","91.121.160.6",""
"IPv4","91.121.147.65",""
"IPv4","91.121.143.199",""
"IPv4","91.121.103.111",""
"IPv4","90.66.55.207",""
"IPv4","90.65.4.132",""
"IPv4","90.255.244.127",""
"IPv4","90.231.172.196",""
"IPv4","90.193.120.143",""
"IPv4","90.187.254.173",""
"IPv4","90.178.65.63",""
"IPv4","90.155.5.6",""
"IPv4","90.146.66.219",""
"IPv4","90.129.255.31",""
"IPv4","90.126.124.185",""
"IPv4","89.74.86.145",""
"IPv4","89.72.113.181",""
"IPv4","89.58.8.11",""
"IPv4","89.58.55.141",""
"IPv4","89.58.54.46",""
"IPv4","89.58.53.109",""
"IPv4","89.58.52.189",""
"IPv4","89.58.49.77",""
"IPv4","89.58.48.237",""
"IPv4","89.58.45.9",""
"IPv4","89.58.45.45",""
"IPv4","89.58.43.44",""
"IPv4","89.58.42.28",""
"IPv4","89.58.40.110",""
"IPv4","89.58.4.238",""
"IPv4","89.58.4.228",""
"IPv4","89.58.37.181",""
"IPv4","89.58.37.132",""
"IPv4","89.58.34.53",""
"IPv4","89.58.33.214",""
"IPv4","89.58.32.236",""
"IPv4","89.58.30.164",""
"IPv4","89.58.3.114",""
"IPv4","89.58.28.37",""
"IPv4","89.58.27.84",""
"IPv4","89.58.27.5",""
"IPv4","89.58.17.234",""
"IPv4","89.58.13.253",""
"IPv4","89.58.12.249",""
"IPv4","89.58.0.89",""
"IPv4","89.58.0.34",""
"IPv4","89.46.100.71",""
"IPv4","89.40.13.217",""
"IPv4","89.39.67.33",""
"IPv4","89.39.106.151",""
"IPv4","89.39.104.175",""
"IPv4","89.34.27.237",""
"IPv4","89.34.18.151",""
"IPv4","89.32.41.123",""
"IPv4","89.25.33.22",""
"IPv4","89.249.65.249",""
"IPv4","89.248.165.181",""
"IPv4","89.236.112.100",""
"IPv4","89.234.182.66",""
"IPv4","89.234.157.254",""
"IPv4","89.221.212.118",""
"IPv4","89.212.52.216",""
"IPv4","89.212.26.36",""
"IPv4","89.191.217.1",""
"IPv4","89.190.24.6",""
"IPv4","89.163.225.115",""
"IPv4","89.163.224.250",""
"IPv4","89.163.178.20",""
"IPv4","89.163.164.202",""
"IPv4","89.163.143.8",""
"IPv4","89.163.128.29",""
"IPv4","89.163.128.28",""
"IPv4","89.163.128.26",""
"IPv4","89.163.128.25",""
"IPv4","89.161.26.78",""
"IPv4","89.150.132.19",""
"IPv4","89.150.131.83",""
"IPv4","89.147.109.91",""
"IPv4","89.147.109.84",""
"IPv4","89.147.109.179",""
"IPv4","89.147.109.130",""
"IPv4","89.147.108.62",""
"IPv4","89.133.16.200",""
"IPv4","89.102.157.141",""
"IPv4","88.99.86.9",""
"IPv4","88.99.80.111",""
"IPv4","88.99.76.10",""
"IPv4","88.99.70.165",""
"IPv4","88.99.4.50",""
"IPv4","88.99.248.158",""
"IPv4","88.99.2.111",""
"IPv4","88.99.104.83",""
"IPv4","88.86.115.99",""
"IPv4","88.80.20.86",""
"IPv4","88.80.184.11",""
"IPv4","88.66.30.154",""
"IPv4","88.218.226.91",""
"IPv4","88.214.35.62",""
"IPv4","88.209.121.106",""
"IPv4","88.208.56.9",""
"IPv4","88.208.240.188",""
"IPv4","88.208.226.26",""
"IPv4","88.208.225.209",""
"IPv4","88.208.224.82",""
"IPv4","88.208.215.95",""
"IPv4","88.208.215.64",""
"IPv4","88.208.212.65",""
"IPv4","88.198.77.51",""
"IPv4","88.198.71.139",""
"IPv4","88.198.209.95",""
"IPv4","88.198.207.48",""
"IPv4","88.198.101.33",""
"IPv4","88.196.80.132",""
"IPv4","88.117.132.202",""
"IPv4","88.114.24.155",""
"IPv4","87.98.243.204",""
"IPv4","87.92.174.108",""
"IPv4","87.64.17.139",""
"IPv4","87.62.99.122",""
"IPv4","87.62.96.246",""
"IPv4","87.54.90.198",""
"IPv4","87.237.165.31",""
"IPv4","87.236.199.239",""
"IPv4","87.236.197.123",""
"IPv4","87.236.195.216",""
"IPv4","87.236.195.203",""
"IPv4","87.236.195.198",""
"IPv4","87.236.194.23",""
"IPv4","87.229.115.23",""
"IPv4","87.139.33.217",""
"IPv4","87.128.54.218",""
"IPv4","87.128.3.75",""
"IPv4","87.121.52.47",""
"IPv4","87.121.52.182",""
"IPv4","87.120.8.91",""
"IPv4","87.120.37.231",""
"IPv4","87.120.254.105",""
"IPv4","87.120.237.130",""
"IPv4","87.118.96.154",""
"IPv4","87.118.122.51",""
"IPv4","87.118.122.30",""
"IPv4","87.118.116.90",""
"IPv4","87.118.116.103",""
"IPv4","87.118.112.136",""
"IPv4","87.118.110.27",""
"IPv4","87.106.236.40",""
"IPv4","87.106.229.54",""
"IPv4","87.106.229.129",""
"IPv4","87.106.193.56",""
"IPv4","87.106.192.222",""
"IPv4","87.106.168.172",""
"IPv4","86.59.21.38",""
"IPv4","86.59.21.163",""
"IPv4","86.248.89.174",""
"IPv4","86.200.196.165",""
"IPv4","86.18.242.248",""
"IPv4","86.17.181.78",""
"IPv4","86.14.81.141",""
"IPv4","86.123.52.188",""
"IPv4","86.115.32.179",""
"IPv4","86.105.212.130",""
"IPv4","86.104.194.121",""
"IPv4","86.1.221.53",""
"IPv4","85.93.218.204",""
"IPv4","85.92.108.76",""
"IPv4","85.91.153.163",""
"IPv4","85.25.43.31",""
"IPv4","85.239.40.94",""
"IPv4","85.239.40.81",""
"IPv4","85.239.40.27",""
"IPv4","85.239.34.40",""
"IPv4","85.235.67.10",""
"IPv4","85.235.66.146",""
"IPv4","85.228.41.145",""
"IPv4","85.215.91.150",""
"IPv4","85.215.88.244",""
"IPv4","85.215.228.176",""
"IPv4","85.214.97.206",""
"IPv4","85.214.80.217",""
"IPv4","85.214.58.236",""
"IPv4","85.214.55.7",""
"IPv4","85.214.49.28",""
"IPv4","85.214.42.55",""
"IPv4","85.214.38.105",""
"IPv4","85.214.28.55",""
"IPv4","85.214.236.165",""
"IPv4","85.214.174.59",""
"IPv4","85.214.156.28",""
"IPv4","85.214.147.9",""
"IPv4","85.214.128.156",""
"IPv4","85.208.97.36",""
"IPv4","85.208.97.34",""
"IPv4","85.208.144.164",""
"IPv4","85.204.116.239",""
"IPv4","85.204.116.238",""
"IPv4","85.204.116.234",""
"IPv4","85.195.253.5",""
"IPv4","85.195.235.248",""
"IPv4","85.195.232.37",""
"IPv4","85.195.230.249",""
"IPv4","85.195.214.252",""
"IPv4","85.195.208.8",""
"IPv4","85.183.60.50",""
"IPv4","85.17.127.129",""
"IPv4","85.159.215.86",""
"IPv4","85.146.92.119",""
"IPv4","85.143.214.143",""
"IPv4","85.119.82.142",""
"IPv4","85.119.82.131",""
"IPv4","85.10.240.250",""
"IPv4","85.1.110.205",""
"IPv4","85.0.125.130",""
"IPv4","84.91.113.119",""
"IPv4","84.42.171.173",""
"IPv4","84.252.122.189",""
"IPv4","84.252.121.40",""
"IPv4","84.248.204.115",""
"IPv4","84.243.66.85",""
"IPv4","84.240.60.234",""
"IPv4","84.239.46.7",""
"IPv4","84.239.46.144",""
"IPv4","84.234.96.133",""
"IPv4","84.226.204.97",""
"IPv4","84.212.255.36",""
"IPv4","84.211.247.39",""
"IPv4","84.198.112.154",""
"IPv4","84.19.188.216",""
"IPv4","84.16.229.2",""
"IPv4","84.113.167.151",""
"IPv4","83.99.147.75",""
"IPv4","83.97.20.88",""
"IPv4","83.97.20.84",""
"IPv4","83.97.20.151",""
"IPv4","83.96.213.63",""
"IPv4","83.79.219.245",""
"IPv4","83.79.15.24",""
"IPv4","83.44.171.172",""
"IPv4","83.42.152.222",""
"IPv4","83.233.125.188",""
"IPv4","83.229.73.246",""
"IPv4","83.229.71.97",""
"IPv4","83.212.72.189",""
"IPv4","83.212.104.45",""
"IPv4","83.212.100.100",""
"IPv4","83.171.236.7",""
"IPv4","83.150.4.196",""
"IPv4","83.136.107.114",""
"IPv4","83.136.106.223",""
"IPv4","83.136.106.136",""
"IPv4","82.94.251.227",""
"IPv4","82.77.238.6",""
"IPv4","82.69.47.114",""
"IPv4","82.68.0.77",""
"IPv4","82.66.61.19",""
"IPv4","82.66.197.211",""
"IPv4","82.66.192.174",""
"IPv4","82.66.103.116",""
"IPv4","82.66.10.17",""
"IPv4","82.65.45.218",""
"IPv4","82.65.243.137",""
"IPv4","82.64.75.232",""
"IPv4","82.64.243.112",""
"IPv4","82.64.223.54",""
"IPv4","82.64.197.25",""
"IPv4","82.64.190.82",""
"IPv4","82.64.163.188",""
"IPv4","82.64.162.213",""
"IPv4","82.64.139.45",""
"IPv4","82.64.107.53",""
"IPv4","82.223.23.176",""
"IPv4","82.223.14.245",""
"IPv4","82.223.10.86",""
"IPv4","82.221.131.71",""
"IPv4","82.221.131.5",""
"IPv4","82.221.131.173",""
"IPv4","82.221.128.220",""
"IPv4","82.221.128.202",""
"IPv4","82.221.128.191",""
"IPv4","82.221.128.178",""
"IPv4","82.221.128.122",""
"IPv4","82.220.38.150",""
"IPv4","82.209.54.74",""
"IPv4","82.209.247.202",""
"IPv4","82.197.218.212",""
"IPv4","82.197.215.30",""
"IPv4","82.197.187.221",""
"IPv4","82.197.160.67",""
"IPv4","82.196.8.13",""
"IPv4","82.196.126.71",""
"IPv4","82.196.11.10",""
"IPv4","82.168.32.82",""
"IPv4","82.165.77.33",""
"IPv4","82.165.70.65",""
"IPv4","82.165.67.222",""
"IPv4","82.165.243.187",""
"IPv4","82.165.206.196",""
"IPv4","82.165.20.161",""
"IPv4","82.165.185.89",""
"IPv4","82.165.179.45",""
"IPv4","82.165.169.47",""
"IPv4","82.165.167.46",""
"IPv4","82.165.116.173",""
"IPv4","82.165.113.235",""
"IPv4","82.165.111.170",""
"IPv4","82.165.107.33",""
"IPv4","82.165.101.234",""
"IPv4","82.149.227.236",""
