"Indicator type","Indicator","Description"
"FileHash-MD5","0bf7bc20496143a9f028e77ab47b4698","MD5 of 350ba7fca67721c74385faff083914ecdd66ef107a765dfb7ac08b38d5c9c0bd"
"FileHash-MD5","59db7bd22d4ec503b768ece646205c27","MD5 of e28188e516db1bda9015c30de59a2e91996b67c2e2b44989a6b0f562577fd757"
"FileHash-MD5","afa27795c0c86b6afeb138d0fb09506b","MD5 of 07117c02a09410f47a326b52c7f17407e63ba5e6ff97277446efc75b862d2799"
"FileHash-MD5","b113be47b5b601e0a58d774b4ce70a17","MD5 of c4c8be0c939e4c24e11bad90549e3951b7969e78056d819425ca53e87af8d8ed"
"FileHash-MD5","e83d6092439a90af2b4b1db2ad3a9c5a","MD5 of 51eb749d6cbd08baf9d43c2f83abd9d4d86eb5206f62ba43b768251a98ce9d3e"
"FileHash-SHA1","4da6fef533b37a12ed1e357df66802de29c1ab5c","SHA1 of 51eb749d6cbd08baf9d43c2f83abd9d4d86eb5206f62ba43b768251a98ce9d3e"
"FileHash-SHA1","aa54013aeb502b4a936331deb76a6411f1f1ade7","SHA1 of 350ba7fca67721c74385faff083914ecdd66ef107a765dfb7ac08b38d5c9c0bd"
"FileHash-SHA1","b1b3d7d20ccad8130723d5114c64b66afa8011d4","SHA1 of c4c8be0c939e4c24e11bad90549e3951b7969e78056d819425ca53e87af8d8ed"
"FileHash-SHA1","d32e44f7e04a8c84e7159ed020dcf26b6e51416e","SHA1 of 07117c02a09410f47a326b52c7f17407e63ba5e6ff97277446efc75b862d2799"
"FileHash-SHA1","ff57cda4829978d8b6f7f1f31356f291b37acaa6","SHA1 of e28188e516db1bda9015c30de59a2e91996b67c2e2b44989a6b0f562577fd757"
"FileHash-SHA256","07117c02a09410f47a326b52c7f17407e63ba5e6ff97277446efc75b862d2799",""
"FileHash-SHA256","350ba7fca67721c74385faff083914ecdd66ef107a765dfb7ac08b38d5c9c0bd",""
"FileHash-SHA256","51eb749d6cbd08baf9d43c2f83abd9d4d86eb5206f62ba43b768251a98ce9d3e",""
"FileHash-SHA256","c4c8be0c939e4c24e11bad90549e3951b7969e78056d819425ca53e87af8d8ed",""
"FileHash-SHA256","e28188e516db1bda9015c30de59a2e91996b67c2e2b44989a6b0f562577fd757",""
