"Indicator type","Indicator","Description"
"domain","senseless-convention.de",""
"domain","lab.cat",""
"domain","superbia.eu",""
"domain","govanify.com",""
"domain","tor-exit.cf",""
"domain","24vitation.com",""
"domain","jonaswitmer.ch",""
"domain","swoarly.de",""
"domain","1337.la",""
"domain","multivac.io",""
"hostname","static.232.44.9.176.clients.your-server.de",""
"hostname","66-206-0-82.static.hvvc.us",""
"hostname","customer.worldstream.nl",""
"hostname","tor-exit-anonymizer-12.appliedprivacy.net",""
"hostname","tor-exit3-readme.dfri.se",""
"hostname","157.emeraldonion.org",""
"hostname","tor-proxy-03.for-privacy.net",""
"hostname","fr.tor.pwn.party",""
"hostname","v22019048205187093.luckysrv.de",""
"hostname","tor-proxy-07.for-privacy.net",""
"hostname","static.82.149.243.136.clients.your-server.de",""
"hostname","deurpost.prutsnet.nl",""
"hostname","thc.drkhsh.at",""
"hostname","tor-exit-anonymizer-06.appliedprivacy.net",""
"hostname","tor.t-3.net",""
"hostname","djb.tor-exit.calyxinstitute.org",""
"hostname","geri.enn.lu",""
"hostname","static.90.153.9.5.clients.your-server.de",""
"hostname","static.209.61.76.144.clients.your-server.de",""
"hostname","tor4.quintex.com",""
"hostname","hosted-by.iws.co",""
"hostname","tor-exit-anonymizer-10.appliedprivacy.net",""
"hostname","ip5.ip-79-137-112.eu",""
"hostname","v22018042160764027.happysrv.de",""
"hostname","static.85-10-200-109.clients.your-server.de",""
"hostname","anonymous6.sec.nl",""
"hostname","thorfred2.ddns.net",""
"hostname","nlhoarder025.usermanaged.net",""
"hostname","server987.seedhost.eu",""
"hostname","the-windy-onion.tor-exits.alec.ninja",""
"hostname","bar.bandie.org",""
"hostname","tor50.quintex.com",""
"hostname","ip43.ip-79-137-116.eu",""
"hostname","ns3132337.ip-51-75-129.eu",""
"hostname","toreador.webenlet.hu",""
"hostname","static.18.9.9.5.clients.your-server.de",""
"hostname","62-210-93-142.rev.poneytelecom.eu",""
"hostname","sntor.snt.utwente.nl",""
"hostname","ns3083126.ip-145-239-7.eu",""
"hostname","static.66.51.251.148.clients.your-server.de",""
"hostname","108.61.99.149.vultr.com",""
"hostname","anonymous.schmutzig.org",""
"hostname","static.23.153.9.5.clients.your-server.de",""
"hostname","tor49.quintex.com",""
"hostname","ns3091493.ip-54-36-120.eu",""
"hostname","tor-exit.386bsd.net",""
"hostname","mrkrabs.exit.tor4us.net",""
"hostname","tor.piratenpartei-nrw.de",""
"hostname","wiebe.tor-exit.calyxinstitute.org",""
"hostname","62-210-83-207.rev.poneytelecom.eu",""
"hostname","ns3119175.ip-51-38-180.eu",""
"hostname","tor7.terjan.net",""
"hostname","212-51-129-49.fiber7.init7.net",""
"hostname","tor-exit.r3.darknet.dev",""
"hostname","v22019057958990561.quicksrv.de",""
"hostname","ns3129544.ip-51-75-144.eu",""
"hostname","g-corelabslu.entry.lu",""
"hostname","mario-louis-sylvester-lap.tor-exit.calyxinstitute.org",""
"hostname","eli.dereferenced.net",""
"hostname","tor-exit.marx.wtf",""
"hostname","ns3066555.ip-176-31-229.eu",""
"hostname","static.102.92.9.176.clients.your-server.de",""
"hostname","static.21.11.251.148.clients.your-server.de",""
"hostname","politkovskaja.torservers.net",""
"hostname","malta1784.startdedicated.com",""
"hostname","static.132.82.243.136.clients.your-server.de",""
"hostname","static.91.71.76.144.clients.your-server.de",""
"hostname","lumumba.torservers.net",""
"hostname","phoolandevi.tor-exit.calyxinstitute.org",""
"hostname","chaos.delroth.net",""
"hostname","neptun.johannm.de",""
"hostname","tor-readme.shirfire.net",""
"hostname","ip192.ip-51-77-251.eu",""
"hostname","ns3078984.ip-217-182-198.eu",""
"hostname","loft9091.serverprofi24.com",""
"hostname","research.slashcrypto.org",""
"hostname","static.88-198-128-218.clients.your-server.de",""
"hostname","morty.ultrasrv.de",""
"hostname","unn-95-168-216-152.superhosting.cz",""
"hostname","ori.enn.lu",""
"hostname","loft9169.serverprofi24.com",""
"hostname","static.91.153.9.5.clients.your-server.de",""
"hostname","201.emeraldonion.org",""
"hostname","ns3127231.ip-51-68-204.eu",""
"hostname","ns3127990.ip-51-68-205.eu",""
"hostname","v22018117211276672.bestsrv.de",""
"hostname","rainbowwarrior.torservers.net",""
"hostname","static.57.151.46.78.clients.your-server.de",""
"hostname","ip219.ip-213-32-119.eu",""
"hostname","rahja.lf-net.org",""
"hostname","5efd8dd.retik.eu",""
"hostname","ns3129545.ip-51-75-144.eu",""
"hostname","atlantic746.serverprofi24.com",""
"hostname","62-210-99-162.rev.poneytelecom.eu",""
"hostname","freki.enn.lu",""
"hostname","static.148.39.243.136.clients.your-server.de",""
"hostname","static.211.43.9.5.clients.your-server.de",""
"hostname","litavis.grmml.net",""
"hostname","tor-relay.zwiebeltoralf.de",""
"hostname","v2201907984692403.nicesrv.de",""
"hostname","ns3079939.ip-217-182-196.eu",""
"hostname","tor-proxy-02.for-privacy.net",""
"hostname","tor.dsi.tu-berlin.de",""
"hostname","backup.cxx.rocks",""
"hostname","195-154-164-243.rev.poneytelecom.eu",""
"hostname","ns3083128.ip-145-239-7.eu",""
"hostname","i7.homwer.com",""
"hostname","static.139.4.243.136.clients.your-server.de",""
"hostname","ns100604.ip-147-135-4.us",""
"hostname","billsf.tor-exit.calyxinstitute.org",""
"hostname","51-15-185-201.rev.poneytelecom.eu",""
"hostname","pub.cxx.rocks",""
"hostname","q2.flashingcourt.finishingtouchlandscapellc.com",""
"hostname","more-info-at-http-dienste.luensmann.it",""
"hostname","ip220.ip-217-182-50.eu",""
"hostname","v22018112160776791.luckysrv.de",""
"hostname","163-172-21-117.rev.poneytelecom.eu",""
"hostname","tor17.quintex.com",""
"hostname","218-89-15-51.rev.cloud.scaleway.com",""
"hostname","ip10.ip-91-121-224.eu",""
"hostname","tor-exit5-readme.dfri.se",""
"hostname","patrickstar.exit.tor4us.net",""
"hostname","205.emeraldonion.org",""
"hostname","ns3082987.ip-145-239-6.eu",""
"hostname","e5.eagerlow.zeurono.com",""
"hostname","tor-exit.artikel10.org",""
"hostname","static.184.91.76.144.clients.your-server.de",""
"hostname","tor-exit.r2.darknet.dev",""
"hostname","104.238.167.111.vultr.com",""
"hostname","14-80-15-51.rev.cloud.scaleway.com",""
"hostname","static.100.40.130.94.clients.your-server.de",""
"hostname","v22019017737382037.powersrv.de",""
"hostname","tor-exit-anonymizer-08.appliedprivacy.net",""
"hostname","static.84.79.76.144.clients.your-server.de",""
