"Indicator type","Indicator","Description"
"IPv4","1.160.121.233",""
"IPv4","1.43.247.217",""
"IPv4","1.9.116.33",""
"IPv4","100.11.96.205",""
"IPv4","100.14.173.231",""
"IPv4","100.19.106.216",""
"IPv4","100.2.182.112",""
"IPv4","100.34.142.178",""
"IPv4","100.36.134.107",""
"IPv4","100.38.103.88",""
"IPv4","100.6.90.160",""
"IPv4","100.8.187.9",""
"IPv4","101.100.136.62",""
"IPv4","101.100.144.174",""
"IPv4","101.164.36.23",""
"IPv4","101.179.142.172",""
"IPv4","101.55.125.10",""
"IPv4","102.130.112.81",""
"IPv4","102.130.113.51",""
"IPv4","102.165.51.33",""
"IPv4","103.102.234.156",""
"IPv4","103.102.46.57",""
"IPv4","103.104.244.76",""
"IPv4","103.114.163.34",""
"IPv4","103.119.112.78",""
"IPv4","103.136.43.183",""
"IPv4","103.15.28.215",""
"IPv4","103.16.42.53",""
"IPv4","103.199.161.166",""
"IPv4","103.200.210.66",""
"IPv4","103.208.220.122",""
"IPv4","103.208.220.226",""
"IPv4","103.216.223.11",""
"IPv4","103.234.220.195",""
"IPv4","103.234.220.197",""
"IPv4","103.236.201.110",""
"IPv4","103.236.201.88",""
"IPv4","103.241.61.34",""
"IPv4","103.25.58.34",""
"IPv4","103.250.73.218",""
"IPv4","103.250.73.232",""
"IPv4","103.253.92.43",""
"IPv4","103.28.52.93",""
"IPv4","103.28.53.138",""
"IPv4","103.3.62.168",""
"IPv4","103.31.251.112",""
"IPv4","103.73.64.18",""
"IPv4","103.73.65.32",""
"IPv4","103.73.67.198",""
"IPv4","103.75.190.11",""
"IPv4","103.9.76.92",""
"IPv4","104.131.108.7",""
"IPv4","104.131.11.214",""
"IPv4","104.131.128.247",""
"IPv4","104.131.137.159",""
"IPv4","104.131.206.23",""
"IPv4","104.131.245.55",""
"IPv4","104.131.4.237",""
"IPv4","104.131.72.61",""
"IPv4","104.149.128.94",""
"IPv4","104.153.103.93",""
"IPv4","104.160.110.90",""
