"Indicator type","Indicator","Description"
"IPv4","1.36.176.229",""
"IPv4","1.40.23.173",""
"IPv4","1.43.4.8",""
"IPv4","1.65.166.123",""
"IPv4","1.9.116.33",""
"IPv4","100.14.173.231",""
"IPv4","100.15.139.123",""
"IPv4","100.2.182.112",""
"IPv4","100.33.31.242",""
"IPv4","100.36.134.107",""
"IPv4","101.100.136.62",""
"IPv4","101.100.144.174",""
"IPv4","101.163.17.45",""
"IPv4","101.164.33.54",""
"IPv4","101.55.125.10",""
"IPv4","102.130.112.81",""
"IPv4","102.140.204.95",""
"IPv4","103.102.234.156",""
"IPv4","103.102.46.57",""
"IPv4","103.104.244.76",""
"IPv4","103.114.163.34",""
"IPv4","103.119.112.78",""
"IPv4","103.136.43.183",""
"IPv4","103.195.7.121",""
"IPv4","103.199.16.146",""
"IPv4","103.199.161.166",""
"IPv4","103.200.210.66",""
"IPv4","103.208.220.122",""
"IPv4","103.208.220.226",""
"IPv4","103.234.220.195",""
"IPv4","103.234.220.197",""
"IPv4","103.236.201.110",""
"IPv4","103.236.201.88",""
"IPv4","103.241.61.34",""
"IPv4","103.25.58.34",""
"IPv4","103.250.233.199",""
"IPv4","103.250.73.218",""
"IPv4","103.250.73.232",""
"IPv4","103.253.92.43",""
"IPv4","103.28.52.93",""
"IPv4","103.28.53.138",""
"IPv4","103.31.251.112",""
"IPv4","103.60.14.133",""
"IPv4","103.73.64.18",""
"IPv4","103.73.65.32",""
"IPv4","103.73.67.198",""
"IPv4","103.9.76.92",""
"IPv4","104.11.210.243",""
"IPv4","104.131.108.7",""
"IPv4","104.131.11.214",""
"IPv4","104.131.128.247",""
"IPv4","104.131.137.159",""
"IPv4","104.131.206.23",""
"IPv4","104.131.245.55",""
"IPv4","104.131.4.237",""
"IPv4","104.131.65.225",""
"IPv4","104.131.72.61",""
"IPv4","104.149.128.94",""
"IPv4","104.152.187.196",""
"IPv4","104.153.103.93",""
"IPv4","104.167.100.86",""
"IPv4","104.167.102.164",""
"IPv4","104.167.102.214",""
"IPv4","104.167.102.245",""
"IPv4","104.167.103.8",""
"IPv4","104.167.107.104",""
"IPv4","104.167.114.201",""
"IPv4","104.167.114.202",""
"IPv4","104.169.24.246",""
"IPv4","104.192.1.7",""
"IPv4","104.192.88.97",""
"IPv4","104.194.228.240",""
"IPv4","104.196.43.128",""
"IPv4","104.206.237.23",""
"IPv4","104.206.237.24",""
"IPv4","104.207.146.208",""
"IPv4","104.207.149.101",""
"IPv4","104.217.62.119",""
"IPv4","104.218.63.72",""
"IPv4","104.218.63.73",""
"IPv4","104.218.63.74",""
"IPv4","104.218.63.75",""
"IPv4","104.218.63.76",""
"IPv4","104.223.45.150",""
"IPv4","104.223.94.66",""
"IPv4","104.225.236.10",""
"IPv4","104.230.216.96",""
"IPv4","104.236.151.160",""
"IPv4","104.236.19.120",""
"IPv4","104.236.239.165",""
"IPv4","104.236.46.10",""
"IPv4","104.236.52.16",""
"IPv4","104.236.87.90",""
"IPv4","104.236.92.66",""
"IPv4","104.236.93.66",""
"IPv4","104.237.144.134",""
"IPv4","104.237.151.221",""
"IPv4","104.237.156.214",""
"IPv4","104.238.159.191",""
"IPv4","104.238.167.111",""
"IPv4","104.238.188.98",""
"IPv4","104.244.72.232",""
"IPv4","104.244.73.118",""
"IPv4","104.244.73.126",""
"IPv4","104.244.73.237",""
