"Indicator type","Indicator","Description"
"URL","https://web.e.test.connect.paymentsense.cloud/assets/js/client",""
"hostname","demo.e.test.connect.paymentsense.cloud",""
"hostname","demo.test.connect.paymentsense.cloud",""
"hostname","e.test.connect.paymentsense.cloud",""
"hostname","web.e.test.connect.paymentsense.cloud",""
"hostname","www.cms.connect.paymentsense.cloud",""
"hostname","www.liftoff.connect.paymentsense.cloud",""
"hostname","www.liftoff.dev.connect.paymentsense.cloud",""
"hostname","www.mission-control.dev.connect.paymentsense.cloud",""
"hostname","www.mission-control.test.connect.paymentsense.cloud",""
"URL","http://f656180020.connect.paymentsense.cloud/",""
"URL","http://fs-demo0014.connect.paymentsense.cloud/",""
"URL","http://pc027e650000.connect.paymentsense.cloud/",""
"URL","http://ph666j870000.connect.paymentsense.cloud/",""
"URL","http://ph666j870002.connect.paymentsense.cloud/",""
"URL","http://pj551u920000.connect.paymentsense.cloud/",""
"URL","http://pl094d850001.connect.paymentsense.cloud/",""
"URL","http://pn803k020002.connect.paymentsense.cloud/",""
"URL","http://pr612x090000.connect.paymentsense.cloud/",""
"URL","http://ps542f740000.connect.paymentsense.cloud/",""
"URL","http://pt288t320000.connect.paymentsense.cloud/",""
"URL","http://pt422n510007.connect.paymentsense.cloud/",""
"URL","http://pv914e490000.connect.paymentsense.cloud/",""
"URL","http://pz597v860000.connect.paymentsense.cloud/",""
"URL","http://sr745h900000.test.connect.paymentsense.cloud/",""
"URL","http://sr823k290001.test.connect.paymentsense.cloud/",""
"URL","http://v764y210000.connect.paymentsense.cloud/",""
"URL","http://web.e.test.connect.paymentsense.cloud/",""
"URL","https://sg903d540000.connect.paymentsense.cloud/retail/terminals",""
"URL","https://ss864b320000.test.connect.paymentsense.cloud:443/pac/terminals/22162520/transactions/962a750f",""
"hostname","api.passport-test.yandex.lv",""
"URL","https://zen.yandex.uz/media/id/5cdf6a7e42a0cd00b345a593/iunye-shkolnicy-i-ih-pikantnye-zasvety-5d2cc438ac412400ae8f470c?feed_exp=ordinary_feed&from=channel&rid=2972942506.569.1576930521155.42474&integration=publishers_platform_yandex",""
"URL","https://zen.yandex.uz/tvrain?clid=701&csrf2=8df7de75e5eb3960e7f522ccaef8334758e694fc-1573789775267-null-4050921061573789775:0&token=",""
"URL","https://zen.yandex.lv/media/leninka/arhip-kuindji-v-karikaturah-5c3ef04f4c6e0800aa29c115",""
"URL","https://beta.jula.no/julaclub/tilbud/",""
"FileHash-SHA256","b842537d63e546ed31a1d8d7745a755187b24dfe3a1c75dbd2e65fba814913a1",""
"hostname","zen.yandex.uz",""
"hostname","zen.crowdzeta.kaizen.yandex.uz",""
"hostname","snout.balance.yandex.uz",""
