"Indicator type","Indicator","Description"
"URL","https://www.abisource.com/downloads/abiword/2.6.5/Windows/abiword-setup-2.6.5.exe",""
"URL","https://www.abisource.com/downloads/abiword/2.8.3/Windows/abiword-setup-2.8.3.exe",""
"URL","https://www.abisource.com/mailinglists/abiword-dev/2003/Aug/att-0120/01-document_9446.pif",""
"URL","https://www.abisource.com/mailinglists/abiword-dev/2003/Aug/att-0125/01-details.pif",""
"URL","https://www.abisource.com/mailinglists/abiword-dev/2003/Aug/att-0142/01-your_document.pif",""
"URL","http://svn.abisource.com/",""
"URL","https://planet.abisource.com",""
"URL","https://planet.abisource.com/",""
"URL","http://shop.neustadt.eu/produkte/gruppenreisen/",""
"URL","http://shop.neustadt.eu/produkte/kostenfreie-broschueren",""
"URL","http://vhs.neustadt.eu/fileadmin/kuferweb/admin/index.php",""
"URL","http://www.neustadt.eu/Leben-in-Neustadt/Service/Veranstaltungen",""
"URL","https://ferienhits.neustadt.eu/index.php?id=48",""
"URL","https://vhs.neustadt.eu/",""
"URL","https://www.neustadt.eu/B%C3%BCrger-Leben/Weind%C3%B6rfer/Gimmeldingen",""
"URL","https://www.neustadt.eu/Kultur/Stadtarchiv",""
"URL","https://www.neustadt.eu/Tourism-Wine/Useful-information/",""
"URL","https://www.neustadt.eu/Tourismus-Wein/Aktuelles-Highlights/Top-news/Die-Pfalz-feiert-Weinfeste-und-mehr-2018.php",""
"URL","https://www.neustadt.eu/Tourismus-Wein/Aktuelles-Highlights/Top-news/Die-Pfalz-feiert-Weinfeste-und-mehr-2018.php?object=tx,2636.5",""
"URL","https://www.neustadt.eu/Tourismus-Wein/Mandelbl%C3%BCte",""
"URL","https://www.neustadt.eu/Tourismus-Wein/Top-Events-Veranstaltungen/Veranstaltungen",""
"URL","https://www.neustadt.eu/Tourismus-Wein/Veranstaltungen-Events-Aktuelles/Weihnachtszeit/Weihnachtsmarkt-der-Kunigunde",""
"URL","https://www.neustadt.eu/Wirtschaftsentwicklung",""
"URL","https://www.neustadt.eu/weihnachtsmarkt-der-kunigunde",""
"URL","https://www.neustadt.eu/weihnachtsmarkt-der-kunigunde>",""
"URL","http://cafelouvre.cz",""
"URL","http://cafelouvre.cz/",""
"URL","http://bujinkanprague.com/",""
"URL","http://www.bujinkanprague.com/",""
"URL","http://www.bujinkanprague.com/2012/07/cestovani-po-japonsku/",""
"URL","http://www.bujinkanprague.com/en/author/pavels/page/2/?/feed/",""
"URL","http://kalypta.cz",""
"URL","http://www.kalypta.cz/cs/",""
"URL","http://pha.cz/",""
"URL","http://www.znicenekostely.cz/index.php?load=detail",""
"URL","http://www.znicenekostely.cz/index.php?load=search",""
"URL","http://potrefenahusa-design.cz/",""
"URL","http://www.potrefenahusa-design.cz/b2_hln.html",""
"URL","http://www.potrefenahusa-design.cz/r11_platnerska.htm",""
"URL","http://www.potrefenahusa-design.cz/r12_hybernska.htm",""
"URL","http://www.potrefenahusa-design.cz/s3_mb.htm",""
"hostname","shop.neustadt.eu",""
"hostname","vhs.neustadt.eu",""
"hostname","www.neustadt.eu",""
"hostname","ferienhits.neustadt.eu",""
"hostname","www.abfallkalender.neustadt.eu",""
"hostname","www.znicenekostely.cz",""
"hostname","www.tnet.cz",""
"URL","http://hotel.bohemiaexcellent.cz/",""
"URL","http://hotel.bohemiaexcellent.cz/cs-index.ph",""
"URL","http://hotel.bohemiaexcellent.cz/cs-mapy.php",""
"URL","http://pohar-peruna.cz/",""
"URL","http://www.pohar-peruna.cz/",""
"hostname","www.k1karta.cz",""
"hostname","hotel.bohemiaexcellent.cz",""
"hostname","www.bohemiaexcellent.cz",""
"hostname","www.pohar-peruna.cz",""
"URL","http://www.analytical-chemistry.uoc.gr/",""
"URL","http://www.en.uoc.gr/courses/philosophical-school/philosophical-school.html",""
"URL","http://www.history-archaeology.uoc.gr/el/staff/dep/Kolovos.html",""
"URL","http://www.history-archaeology.uoc.gr/files/items/2/2880/halcyon_days_flyer.pdf",""
"URL","http://www.wcp2013.gr/",""
"URL","http://www.wcp2013.gr/files/items/6/629/23rd_wcp_proposed_hotels.pdf",""
"URL","http://www.wcp2013.gr/files/items/6/644/programmejuly29.pdf",""
