url,class,protocol, Domain Name,Registrar,Updated Date,Creation Date,Registry Expiry Date,Registrant Organization,Country
google.com,https,benign,GOOGLE.COM,"MarkMonitor, Inc.",2019-09-09,1997-09-15,2028-09-14,Google LLC,US
youtube.com,https,benign,YOUTUBE.COM,MarkMonitor Inc.,2022-01-14,2005-02-15,2023-02-15,,
tmall.com,https,benign,TMALL.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-09-01,1997-10-17,2023-10-16,,
baidu.com,https,benign,BAIDU.COM,"MarkMonitor, Inc.",2022-09-01,1999-10-11,2026-10-11,"Beijing Baidu Netcom Science Technology Co., Ltd.",CN
qq.com,https,benign,QQ.COM,MarkMonitor Inc.,2022-09-21,1995-05-04,2030-07-27,,
sohu.com,https,benign,SOHU.COM,"MarkMonitor, Inc.",2022-06-29,1998-07-05,2023-07-04,"Beijing Sohu Internet Information Service Co., Ltd.",CN
facebook.com,https,benign,FACEBOOK.COM,"RegistrarSafe, LLC",2022-01-26,1997-03-29,2031-03-30,"Meta Platforms, Inc.",US
taobao.com,https,benign,TAOBAO.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2022-07-05,2003-04-21,2024-04-21,,
jd.com,https,benign,JD.COM,"MarkMonitor, Inc.",2022-09-15,1992-09-29,2028-03-08,BEIJING JINGDONG 360 DU E-COMMERCE LTD.,CN
yahoo.com,https,benign,YAHOO.COM,MarkMonitor Inc.,2022-03-09,1995-01-18,2023-01-19,,
amazon.com,https,benign,AMAZON.COM,MarkMonitor Inc.,2019-05-07,1994-11-01,2024-10-31,,
wikipedia.org,https,benign,wikipedia.org,MarkMonitor Inc.,2020-10-15,2001-01-13,2023-01-13,"Wikimedia Foundation, Inc.",US
weibo.com,https,benign,WEIBO.COM,"Xiamen 35.Com Technology Co., Ltd",2017-04-13,1999-03-20,2026-03-20,,CN
xinhuanet.com,https,benign,XINHUANET.COM,"Beijing Guoxu Network Technology Co., Ltd.",2022-01-11,2000-04-28,2023-04-28,,
netflix.com,https,benign,NETFLIX.COM,"MarkMonitor, Inc.",2021-10-09,1997-11-11,2023-11-10,"Netflix, Inc.",US
reddit.com,https,benign,REDDIT.COM,MarkMonitor Inc.,2022-03-28,2005-04-29,2024-04-29,,
live.com,https,benign,LIVE.COM,"CSC CORPORATE DOMAINS, INC.",2021-12-23,1994-12-28,2022-12-27,Microsoft Corporation,US
alipay.com,https,benign,ALIPAY.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2022-09-06,2004-10-08,2023-10-08,,
zhanqi.tv,https,benign,ZHANQI.TV,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-04-08,2014-04-03,2024-04-03,,CN
panda.tv,https,benign,PANDA.TV,DYNADOT LLC,2022-08-10,2022-06-07,2023-06-07,,
instagram.com,https,benign,INSTAGRAM.COM,"RegistrarSafe, LLC",2021-11-08,2004-06-04,2031-06-04,Instagram LLC,US
zoom.us,https,benign,zoom.us,"MarkMonitor, Inc.",2022-06-13,2002-04-24,2025-04-23,,
csdn.net,https,benign,CSDN.NET,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-12-02,1999-03-11,2023-03-11,,
vk.com,https,benign,VK.COM,"Regional Network Information Center, JSC dba RU-CENTER",2022-05-05,1997-06-24,2023-06-23,Privacy protection service - whoisproxy.ru,RU
google.com.hk,https,benign,GOOGLE.COM.HK,MARKMONITOR INC.,,2001-07-14,2023-11-20,,
bing.com,https,benign,BING.COM,"MarkMonitor, Inc.",2021-12-29,1996-01-29,2023-01-30,Microsoft Corporation,US
twitch.tv,https,benign,TWITCH.TV,"MarkMonitor, Inc.",2021-09-28,2009-06-08,2024-06-08,"Twitch Interactive, Inc.",US
okezone.com,https,benign,OKEZONE.COM,"GoDaddy.com, LLC",2022-10-06,2006-11-15,2027-11-15,"Domains By Proxy, LLC",US
microsoft.com,https,benign,MICROSOFT.COM,MarkMonitor Inc.,2022-04-18,1991-05-02,2023-05-03,,
myshopify.com,https,benign,MYSHOPIFY.COM,MarkMonitor Inc.,2021-03-02,2006-03-03,2024-03-03,,
yahoo.co.jp,https,benign,,,,,,,
ebay.com,https,benign,EBAY.COM,"MarkMonitor, Inc.",2022-07-02,1995-08-04,2023-08-03,eBay Inc.,US
office.com,https,benign,OFFICE.COM,"MarkMonitor, Inc.",2022-03-19,1999-04-20,2023-04-20,Microsoft Corporation,US
twitter.com,https,benign,TWITTER.COM,"CSC CORPORATE DOMAINS, INC.",2022-01-17,2000-01-21,2023-01-21,"Twitter, Inc.",US
aliexpress.com,https,benign,ALIEXPRESS.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2022-07-05,2006-04-16,2024-04-16,,
naver.com,https,benign,NAVER.COM,"Gabia, Inc.",2022-09-20,1997-09-12,2023-09-11,,
bongacams.com,https,benign,BONGACAMS.COM,DomainSpot LLC,2022-10-17,2012-01-25,2025-01-25,Receiver  for Anderson & Jung,US
amazon.in,https,benign,amazon.in,MarkMonitor Inc.,2019-05-12,2005-02-11,2024-02-11,,US
amazon.co.jp,https,benign,,,,,,,
yy.com,https,benign,YY.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2022-08-12,1994-01-18,2024-01-19,,
coinmarketcap.com,https,benign,COINMARKETCAP.COM,"MarkMonitor, Inc.",2020-06-23,2013-04-28,2025-04-28,DNStination Inc.,US
aparat.com,https,benign,APARAT.COM,CSL Computer Service Langenbach GmbH d/b/a joker.com,2022-02-09,2002-12-31,2025-12-31,c/o IDPS International Domain Privacy Services GmbH,DE
adobe.com,https,benign,ADOBE.COM,NOM-IQ Ltd dba Com Laude,2022-04-17,1986-11-17,2023-05-17,Adobe Inc.,US
haosou.com,https,benign,HAOSOU.COM,"eName Technology Co.,Ltd.",2022-07-15,2003-10-20,2023-10-20,,CN
huanqiu.com,https,benign,HUANQIU.COM,"DNSPod, Inc.",2022-04-17,2002-05-02,2023-05-02,,CN
1688.com,https,benign,1688.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-09-02,1996-10-18,2023-10-17,,
microsoftonline.com,https,benign,MICROSOFTONLINE.COM,"MarkMonitor, Inc.",2021-06-08,2002-07-09,2023-07-09,Microsoft Corporation,US
godaddy.com,https,benign,GODADDY.COM,"GoDaddy.com, LLC",2022-10-04,1999-03-02,2024-11-01,"Domains By Proxy, LLC",US
17ok.com,https,benign,17OK.COM,"XIAMEN CHINASOURCE INTERNET SERVICE CO., LTD.",2019-08-06,2002-08-06,2026-08-06,,
chaturbate.com,https,benign,CHATURBATE.COM,"Cloudflare, Inc.",2017-11-20,2011-02-26,2027-11-19,,US
wordpress.com,https,benign,WORDPRESS.COM,"MarkMonitor, Inc.",2022-01-30,2000-03-03,2024-03-03,"Automattic, Inc.",US
so.com,https,benign,SO.COM,"eName Technology Co.,Ltd.",2021-09-24,1999-04-15,2023-04-15,,CN
whatsapp.com,https,benign,WHATSAPP.COM,"RegistrarSafe, LLC",2021-10-18,2008-09-04,2031-09-04,WhatsApp LLC,US
tribunnews.com,https,benign,TRIBUNNEWS.COM,"Amazon Registrar, Inc.",2020-12-21,2010-01-13,2024-01-13,Whois Privacy Service,US
linkedin.com,https,benign,LINKEDIN.COM,"MarkMonitor, Inc.",2022-10-01,2002-11-02,2024-11-02,LinkedIn Corporation,US
imdb.com,https,benign,IMDB.COM,MarkMonitor Inc.,2019-05-07,1996-01-05,2024-01-04,,
msn.com,https,benign,MSN.COM,MarkMonitor Inc.,2022-05-04,1994-11-10,2023-06-04,,
google.co.in,https,benign,google.co.in,MarkMonitor Inc.,2022-05-27,2003-06-23,2023-06-23,,US
google.com.br,https,benign,google.com.br,,2021-04-23,1999-05-18,2023-05-18,,BR
tradingview.com,https,benign,TRADINGVIEW.COM,DomainSpot LLC,2017-10-04,2010-03-20,2027-03-20,TradingView,US
pornhub.com,https,benign,PORNHUB.COM,Eurodns S.A.,2022-05-13,2000-10-31,2027-10-31,Whois Privacy (enumDNS dba),LU
bilibili.com,https,benign,BILIBILI.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-12-29,2004-10-21,2031-10-21,,
fandom.com,https,benign,FANDOM.COM,"TUCOWS, INC.",2020-10-20,1996-10-11,2023-10-10,Contact Privacy Inc. Customer 0141730466,CA
medium.com,https,benign,MEDIUM.COM,"Amazon Registrar, Inc.",2022-04-21,1998-05-27,2023-05-26,Whois Privacy Service,US
etsy.com,https,benign,ETSY.COM,"MarkMonitor, Inc.",2021-01-05,2004-02-05,2023-02-05,"Etsy, Inc.",US
roblox.com,https,benign,ROBLOX.COM,"MarkMonitor, Inc.",2020-12-29,2004-01-30,2023-01-30,Roblox Corporation,US
xvideos.com,https,benign,XVIDEOS.COM,GRANSY S.R.O D/B/A SUBREG.CZ,2019-04-19,1997-12-30,2023-12-29,"Whois protection, this company does not own this domain name s.r.o.",CZ
livejasmin.com,https,benign,LIVEJASMIN.COM,Eurodns S.A.,2022-09-28,2001-11-12,2023-11-12,Docler IP S.a r.l.,LU
indeed.com,https,benign,INDEED.COM,"MarkMonitor, Inc.",2022-02-25,1998-03-30,2023-03-29,"Indeed, Inc",US
alibaba.com,https,benign,ALIBABA.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2022-07-05,1999-04-15,2024-05-23,,
rakuten.co.jp,https,benign,,,,,,,
cnblogs.com,https,benign,CNBLOGS.COM,"Xiamen 35.Com Technology Co., Ltd",2020-06-01,2003-11-12,2024-11-12,,CN
chase.com,https,benign,CHASE.COM,"MarkMonitor, Inc.",2021-09-09,1995-10-11,2023-10-10,JPMorgan Chase & Co.,US
xhamster.com,https,benign,XHAMSTER.COM,NAMECHEAP INC,2022-02-28,2007-04-02,2027-04-02,Redacted for Privacy Purposes,CY
dropbox.com,https,benign,DROPBOX.COM,"MarkMonitor, Inc.",2021-05-26,1995-06-28,2023-06-27,"Dropbox, Inc.",US
spotify.com,https,benign,SPOTIFY.COM,PortsGroup AB,2021-08-02,2006-04-23,2030-04-23,Spotify AB,SE
instructure.com,https,benign,INSTRUCTURE.COM,NAMECHEAP INC,2018-02-12,1998-02-25,2024-02-24,Redacted for Privacy Purposes,US
kompas.com,https,benign,KOMPAS.COM,"TUCOWS, INC.",2021-09-24,1995-12-18,2022-12-17,,ID
babytree.com,https,benign,BABYTREE.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-09-06,2004-09-05,2023-09-05,,
hao123.com,https,benign,HAO123.COM,"MarkMonitor, Inc.",2022-10-14,2000-11-15,2024-11-15,Baidu Online Network Technology Co.Ltd,CN
udemy.com,https,benign,UDEMY.COM,Safenames Ltd,2021-09-01,2009-08-13,2023-08-13,,US
canva.com,https,benign,CANVA.COM,GANDI SAS,2016-08-01,2001-05-05,2023-05-05,Canva Pty. Ltd.,AU
google.co.jp,https,benign,,,,,,,
imgur.com,https,benign,IMGUR.COM,NAMECHEAP INC,2022-05-22,2009-01-09,2027-01-09,Privacy service provided by Withheld for Privacy ehf,IS
163.com,https,benign,163.COM,"MarkMonitor, Inc.",2019-01-25,1997-09-15,2026-09-14,"Guangzhou NetEase Computer System Co., Ltd",CN
amazon.co.uk,https,benign,amazon.co.uk,"Amazon.com, Inc. [Tag = AMAZON-COM]",2022-09-06,1996-08-01,2024-12-05,,
cnzz.com,https,benign,CNZZ.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2022-07-05,2000-04-13,2024-04-13,,
walmart.com,https,benign,WALMART.COM,"CSC CORPORATE DOMAINS, INC.",2022-08-10,1995-02-23,2023-09-23,Not Disclosed,US
bbc.com,https,benign,BBC.COM,"TUCOWS, INC.",2021-07-06,1989-07-15,2030-07-14,,GB
paypal.com,https,benign,PAYPAL.COM,"MarkMonitor, Inc.",2022-10-19,1999-07-15,2023-07-15,PayPal Inc.,US
kumparan.com,https,benign,KUMPARAN.COM,"GoDaddy.com, LLC",2022-09-20,2016-02-02,2032-02-02,"Domains By Proxy, LLC",US
tiktok.com,https,benign,TIKTOK.COM,GANDI SAS,2022-08-24,1996-07-21,2023-07-20,TIKTOK LTD,KY
savefrom.net,https,benign,SAVEFROM.NET,"TUCOWS, INC.",2022-03-01,2008-03-12,2025-03-12,,KN
github.com,https,benign,GITHUB.COM,"MarkMonitor, Inc.",2022-09-07,2007-10-09,2024-10-09,"GitHub, Inc.",US
hotstar.com,https,benign,HOTSTAR.COM,BigRock Solutions Ltd.,2022-01-24,1996-02-16,2023-02-17,Novi Digital Entertainment Private Limited,IN
telegram.org,https,benign,telegram.org,"GoDaddy.com, LLC",2022-09-14,2003-12-15,2031-12-15,"Domains By Proxy, LLC",US
google.es,https,benign,,,,,,,
amazonaws.com,https,benign,AMAZONAWS.COM,"MarkMonitor, Inc.",2022-10-03,2005-08-18,2024-01-16,"Amazon.com, Inc.",US
detik.com,https,benign,DETIK.COM,"Name.com, Inc.",2022-02-17,1998-05-29,2023-05-28,"Domain Protection Services, Inc.",US
force.com,https,benign,FORCE.COM,"MarkMonitor, Inc.",2022-04-19,1991-05-20,2024-05-21,"Salesforce.com, Inc.",US
apple.com,https,benign,APPLE.COM,"CSC CORPORATE DOMAINS, INC.",2022-02-16,1987-02-19,2023-02-20,Apple Inc.,US
espn.com,https,benign,ESPN.COM,"CSC CORPORATE DOMAINS, INC.",2022-08-20,1994-10-04,2023-10-03,"ESPN, Inc.",US
stackoverflow.com,https,benign,STACKOVERFLOW.COM,"CSC CORPORATE DOMAINS, INC.",2022-08-17,2003-12-26,2024-02-02,"Stack Exchange, Inc.",US
tumblr.com,https,benign,TUMBLR.COM,"MarkMonitor, Inc.",2019-12-19,2006-06-08,2023-06-08,"Automattic, Inc.",US
zillow.com,https,benign,ZILLOW.COM,"GoDaddy.com, LLC",2022-09-03,2004-09-16,2027-11-11,"Domains By Proxy, LLC",US
pixnet.net,https,benign,PIXNET.NET,GANDI SAS,2022-05-06,2004-06-07,2023-06-07,PIXNET Digital Media Corporation,TW
salesforce.com,https,benign,SALESFORCE.COM,"MarkMonitor, Inc.",2022-09-20,1998-12-02,2024-10-21,"Salesforce.com, Inc.",US
booking.com,https,benign,BOOKING.COM,"MarkMonitor, Inc.",2021-03-15,1998-04-17,2023-04-16,Booking.com B.V.,NL
stackexchange.com,https,benign,STACKEXCHANGE.COM,"CSC CORPORATE DOMAINS, INC.",2022-08-17,2009-06-12,2024-06-12,"Stack Exchange, Inc.",US
cnn.com,https,benign,CNN.COM,"CSC CORPORATE DOMAINS, INC.",2018-04-10,1993-09-22,2026-09-21,"Turner Broadcasting System, Inc.",US
nytimes.com,https,benign,NYTIMES.COM,"MarkMonitor, Inc.",2022-02-11,1994-01-18,2023-01-19,The New York Times Company,US
varzesh3.com,https,benign,VARZESH3.COM,"GoDaddy.com, LLC",2022-09-19,2011-01-31,2023-01-31,"Domains By Proxy, LLC",US
