url,class,protocol, Domain Name,Registrar,Updated Date,Creation Date,Registry Expiry Date,Registrant Organization,Country
url,benign,url,Domain Name,Registrar,Updated Date,Creation Date,Registry Expiry Date,Registrant Organization,Registrant Country
http://www.eki-net.con-aesceeesa.fbuuwe.top/jp.php,phishing,http,fbuuwe.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.fkoapx.top/jp.php,phishing,http,fkoapx.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.futgud.top/jp.php,phishing,http,futgud.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.fyolsi.top/jp.php,phishing,http,fyolsi.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.fzbtab.top/jp.php,phishing,http,fzbtab.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.gaoxok.top/jp.php,phishing,http,gaoxok.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.grmejp.top/jp.php,phishing,http,grmejp.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.gtczlv.top/jp.php,phishing,http,gtczlv.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
http://www.eki-net.con-aesceeesa.harxlt.top/jp.php,phishing,http,harxlt.top,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),2022-09-01,2022-01-26,2023-01-26,hang zhou shi shang su du ke ji you xian gong si,CN
